name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
CAD_234.nii.gz,0.6076521277427673,2.2360680103302,0.4640101492404938,0.4364226460456848,0.9911032319068909,0.4381391108036041,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2025507092475891,0.7453560034434,0.15467004974683127,0.14547421534856161,,
CAD_235.nii.gz,0.5996725559234619,31.256999969482422,6.297097206115723,0.4282374083995819,0.4862160384654999,0.7821944952011108,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1998908519744873,10.418999989827475,2.099032402038574,0.14274580279986063,,
CAD_238.nii.gz,0.6369369626045227,5.74456262588501,1.0829299688339233,0.46728354692459106,0.8904281854629517,0.495792418718338,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21231232086817423,1.9148542086283367,0.36097665627797443,0.15576118230819702,,
CAD_239.nii.gz,0.6668001413345337,3.0,0.4323946237564087,0.500150203704834,0.9406779408454895,0.5164391994476318,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2222667137781779,1.0,0.14413154125213623,0.16671673456827799,,
CAD_241.nii.gz,0.5294299125671387,3.7416574954986572,0.11928995698690414,0.36001676321029663,0.9953650236129761,0.3606213331222534,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17647663752237955,1.247219165166219,0.03976331899563471,0.12000558773676555,,
CAD_242.nii.gz,0.7104736566543579,4.0,1.2180057764053345,0.5509570837020874,0.9969144463539124,0.551898181438446,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2368245522181193,1.3333333333333333,0.4060019254684448,0.18365236123402914,,
CAD_246.nii.gz,0.5329877734184265,11.575837135314941,3.2582249641418457,0.3633151352405548,0.43820226192474365,0.6800962090492249,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1776625911394755,3.858612378438314,1.086074988047282,0.12110504508018494,,
CAD_247.nii.gz,0.6375176310539246,7.141428470611572,1.4528871774673462,0.4679088890552521,0.5397307872772217,0.7785781621932983,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21250587701797485,2.380476156870524,0.48429572582244873,0.15596962968508402,,
CAD_249.nii.gz,0.6507425308227539,3.0,0.8301658630371094,0.48229676485061646,0.9149359464645386,0.5049384236335754,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21691417694091797,1.0,0.2767219543457031,0.16076558828353882,,
CAD_250.nii.gz,0.6511104702949524,8.64287281036377,1.0787335634231567,0.4827011227607727,0.8241992592811584,0.5381041169166565,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2170368234316508,2.88095760345459,0.35957785447438556,0.1609003742535909,,
