name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
CAD_138.nii.gz,0.6985476613044739,29.59384536743164,4.9007062911987305,0.5367447137832642,0.8478074073791504,0.5939759016036987,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.23284922043482462,9.864615122477213,1.6335687637329102,0.1789149045944214,,
CAD_139.nii.gz,0.6899861097335815,1.7320507764816284,0.4363403618335724,0.5267013907432556,0.9720553159713745,0.5347991585731506,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.22999536991119385,0.5773502588272095,0.14544678727785745,0.17556713024775186,,
CAD_141.nii.gz,0.38427168130874634,58.92697525024414,16.132722854614258,0.23783186078071594,0.42658731341362,0.34959349036216736,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.12809056043624878,19.642325083414715,5.377574284871419,0.07927728692690532,,
CAD_142.nii.gz,0.5670456886291504,3.316624879837036,0.9552380442619324,0.39571788907051086,0.873424768447876,0.419791579246521,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18901522954305014,1.1055416266123455,0.3184126814206441,0.13190596302350363,,
CAD_145.nii.gz,0.5006738305091858,6.4031243324279785,1.512156367301941,0.3339325785636902,0.674841046333313,0.3979646563529968,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.16689127683639526,2.1343747774759927,0.5040521224339803,0.11131085952123006,,
CAD_146.nii.gz,0.5534197688102722,38.60662078857422,5.633731842041016,0.3825710713863373,0.579587996006012,0.5295124053955078,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18447325627009073,12.868873596191406,1.8779106140136719,0.12752369046211243,,
CAD_149.nii.gz,0.5681003332138062,8.105501174926758,0.5036328434944153,0.3967459201812744,0.8180645108222961,0.4351406991481781,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1893667777379354,2.701833724975586,0.16787761449813843,0.1322486400604248,,
CAD_150.nii.gz,0.6535695195198059,2.2360680103302,0.3937680423259735,0.48540908098220825,0.9677922129631042,0.49337923526763916,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.21785650650660196,0.7453560034434,0.13125601410865784,0.16180302699406943,,
CAD_151.nii.gz,0.6879792809486389,2.2360680103302,0.657925546169281,0.5243661403656006,0.9666160941123962,0.5340375304222107,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.22932642698287964,0.7453560034434,0.21930851538976034,0.1747887134552002,,
CAD_152.nii.gz,0.5153664350509644,2.2360680103302,0.29367366433143616,0.3471337556838989,0.9356223344802856,0.3556280732154846,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17178881168365479,0.7453560034434,0.09789122144381206,0.11571125189463298,,
